symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,currency,sector_group,sector_name,market_type,industry_code,industry_name,valuation_model_type,valuation_model_name,peer_group_name,peer_group_level,peer_group_size,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,operating_margin,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_debt_ratio_avg,peer_operating_margin_avg,per_vs_peer_pct,pbr_vs_peer_pct,roe_vs_peer_pctp,debt_ratio_vs_peer_pct,operating_margin_vs_peer_pctp,weight_per,weight_pbr,weight_roe,weight_debt,weight_op_margin,per_score,pbr_score,roe_score,debt_score,operating_margin_score,absolute_score,weighted_absolute_score,per_peer_score,pbr_peer_score,roe_peer_score,debt_peer_score,op_margin_peer_score,risk_penalty,industry_adjusted_score,valuation_score
096350,,대창솔루션,2025,2025-12-31,2026-06-18,1986.0,73200000000.0,KRW,general,일반,코스닥시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",manufacturing,제조업형,"구조용 금속제품, 탱크 및 증기발생기 제조업",industry,16,141833187052.0,105830492215.0,36002694837.0,-7776073880.0,-143752494.0,59877251686.0,,2.03,-21.6,293.95,-0.24,21.2,0.87,-4.07,88.32,-27.42,,-134.48,-17.52,-232.81,27.18,25,20,20,15,20,0,5,0,5,0,10,7.0,0.0,6.67,93.33,0.0,57.14,15,16,16
140860,,파크시스템스,2025,2025-12-31,2026-06-18,249000.0,1743600000000.0,KRW,general,일반,코스닥시장상장법인,272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",manufacturing,제조업형,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",industry,26,349922446098.0,124802530811.0,225119915287.0,34475725850.0,42191026195.0,205613479882.0,50.57,7.75,15.31,55.44,20.52,30.77,2.43,-2.02,46.35,-1.74,-64.36,-218.51,17.33,-19.61,22.26,25,20,20,15,20,0,0,25,25,25,50,55.0,29.41,4.17,4.17,33.33,9.09,0,16,16
171010,,램테크놀러지,2025,2025-12-31,2026-06-18,3080.0,44000000000.0,KRW,general,일반,코스닥시장상장법인,201,기초 화학물질 제조업,manufacturing,제조업형,기초 화학물질 제조업,industry,42,102310587744.0,62587743660.0,39722844084.0,-8366143548.0,,,,1.11,-21.06,157.56,,155.94,1.75,-1.73,109.73,-2.12,,36.72,-19.33,-43.59,,25,20,20,15,20,0,15,0,10,0,25,18.0,0.0,51.22,90.24,19.51,0.0,15,16,16
217190,,제너셈,2025,2025-12-31,2026-06-18,5920.0,77900000000.0,KRW,general,일반,코스닥시장상장법인,292,특수 목적용 기계 제조업,manufacturing,제조업형,특수 목적용 기계 제조업,industry,147,,,,947262337.0,1029264332.0,56757244825.0,82.24,,,,1.81,347.78,12.98,-8.29,88.16,-10.21,76.35,,,,12.02,25,20,20,15,20,0,0,0,0,5,0,4.0,22.78,0.0,0.0,0.0,51.41,0,16,16
262260,,에이프로,2025,2025-12-31,2026-06-18,5050.0,76100000000.0,KRW,general,일반,코스닥시장상장법인,289,기타 전기장비 제조업,manufacturing,제조업형,기타 전기장비 제조업,industry,9,327516705769.0,266205685597.0,61311020172.0,-10753173019.0,-5834695693.0,147079619081.0,,1.24,-17.54,434.19,-3.97,298.44,2.41,-24.04,148.29,-7.91,,48.48,6.5,-192.81,3.95,25,20,20,15,20,0,15,0,0,0,15,12.0,0.0,62.5,87.5,0.0,57.14,25,16,16
306620,,지아이에스,2025,2025-12-31,2026-06-18,2855.0,136900000000.0,KRW,general,일반,코스닥시장상장법인,292,특수 목적용 기계 제조업,manufacturing,제조업형,특수 목적용 기계 제조업,industry,147,143518774423.0,100447278187.0,43071496236.0,-3648033893.0,1631644343.0,75810672480.0,,3.18,-8.47,233.21,2.15,347.78,12.98,-8.29,88.16,-10.21,,75.51,-0.18,-164.54,12.36,25,20,20,15,20,0,0,0,5,5,5,7.0,0.0,30.07,70.42,5.59,48.59,15,16,16
336370,,솔루스첨단소재,2025,2025-12-31,2026-06-18,11200.0,786400000000.0,KRW,general,일반,유가증권시장상장법인,262,전자 부품 제조업,manufacturing,제조업형,전자 부품 제조업,industry,118,2160516819035.0,1214887968135.0,945628850900.0,-138394465215.0,,,,0.83,-14.64,128.47,,53.9,2.36,-8.17,105.52,-4.95,,64.8,-6.46,-21.75,,25,20,20,15,20,0,20,0,15,0,35,25.0,0.0,62.07,80.17,18.97,0.0,15,16,16
354200,,엔젠바이오,2025,2025-12-31,2026-06-18,874.0,23400000000.0,KRW,general,일반,코스닥시장상장법인,739,"그 외 기타 전문, 과학 및 기술 서비스업",general,일반형,"그 외 기타 전문, 과학 및 기술 서비스업",industry,9,72337772001.0,49745286622.0,22592485379.0,-6757443421.0,-8276064402.0,21239519701.0,,1.04,-29.91,220.19,-38.97,42.51,341.34,-20.15,77.78,-2.72,,99.7,-9.76,-183.08,-36.24,25,25,25,25,0,0,15,0,5,0,20,20.0,0.0,37.5,87.5,0.0,100.0,15,16,16
365340,,성일하이텍,2025,2025-12-31,2026-06-18,49650.0,641500000000.0,KRW,general,일반,코스닥시장상장법인,201,기초 화학물질 제조업,manufacturing,제조업형,기초 화학물질 제조업,industry,42,720705308067.0,566570976556.0,154134331511.0,-80546204052.0,-54533608529.0,194629131476.0,,4.16,-52.26,367.58,-28.02,155.94,1.75,-1.73,109.73,-2.12,,-137.77,-50.53,-234.98,-25.89,25,20,20,15,20,0,0,0,0,0,0,0.0,0.0,7.32,100.0,2.44,93.94,25,16,16
389140,,포바이포,2025,2025-12-31,2026-06-18,6110.0,87200000000.0,KRW,general,일반,코스닥시장상장법인,591,"영화, 비디오물, 방송 프로그램 제작 및 배급업",general,일반형,"영화, 비디오물, 방송 프로그램 제작 및 배급업",industry,26,75780348550.0,35592702967.0,40187645583.0,-10958570907.0,-7396321550.0,33710336199.0,,2.17,-27.27,88.57,-21.94,32.62,1.09,-23.29,90.59,-20.25,,-98.51,-3.98,2.23,-1.69,25,25,25,25,0,0,5,0,25,0,30,30.0,0.0,16.0,72.0,36.0,70.83,15,16,16
