symbol,corpCode,name,year,fiscal_date,currency,sector_group,sector_name,market_type,industry_code,industry_name,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue
000390,,삼화페인트공업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,204,기타 화학제품 제조업,590613614037.0,281560002691.0,309053611346.0,16130730290.0,25826733514.0,631381875774.0
000430,,대원강업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,303,자동차 신품 부품 제조업,1026303658490.0,408110668532.0,618192989958.0,37786380416.0,,
000440,,중앙에너비스,2023,2023-12-31,KRW,general,일반,코스닥시장상장법인,467,기타 전문 도매업,61533132670.0,4503843144.0,57029289526.0,-251207664.0,-739276625.0,55473865404.0
000480,,시알홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,232,"내화, 비내화 요업제품 제조업",1621801858956.0,795117752139.0,826684106817.0,26857674151.0,,
000490,,대동,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,292,특수 목적용 기계 제조업,1956376110942.0,1379316412077.0,577059698865.0,11919509695.0,65403445106.0,1433390777280.0
000500,,가온전선,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,283,절연선 및 케이블 제조업,801805532215.0,470794089215.0,331011443000.0,17898342263.0,43720038993.0,1498606544413.0
000520,,삼일제약,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,370680097036.0,242852725250.0,127827371786.0,1663539539.0,6471027760.0,196345807846.0
000590,,CS홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,383909710687.0,36702819606.0,347206891081.0,22145557927.0,19128717935.0,171965239524.0
000640,,동아쏘시오홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,1957106350366.0,929797048609.0,1027309301757.0,55863039721.0,76881723048.0,1132002860400.0
000660,,SK하이닉스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,261,반도체 제조업,100330165000000.0,46826413000000.0,53503752000000.0,-9137547000000.0,-7730313000000.0,32765719000000.0
000670,,영풍,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,242,1차 비철금속 제조업,5568116970055.0,1285348175271.0,4282768794784.0,-83369162564.0,-169812608768.0,3761732632263.0
000680,,LS네트웍스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,468,상품 종합 도매업,1309219122467.0,745211525600.0,564007596867.0,10704983628.0,11618277292.0,379631754364.0
000700,,유수홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,514472137701.0,68107152536.0,446364985165.0,23263597963.0,21005544102.0,341773101419.0
000720,,현대건설,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,412,토목 건설업,23714495000000.0,13258980000000.0,10455515000000.0,654281000000.0,785430000000.0,29651357000000.0
000760,,이화산업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,467,기타 전문 도매업,265952518844.0,58674386856.0,207278131988.0,-2102669509.0,,
000850,,화천기공,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,292,특수 목적용 기계 제조업,463885406068.0,118338768262.0,345546637806.0,10563122927.0,4560057509.0,225720429438.0
000860,,강남제비스코,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,204,기타 화학제품 제조업,985686727233.0,293589356337.0,692097370896.0,21726050379.0,23167970906.0,638789180998.0
000880,,한화,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,204,기타 화학제품 제조업,209738149000000.0,176539410000000.0,33198739000000.0,1635515000000.0,2411920000000.0,53134813000000.0
000890,,보해양조,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,111,알코올음료 제조업,143300746774.0,63286857321.0,80013889453.0,-3555068227.0,-2803701933.0,93084785144.0
000910,,유니온,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",382846276957.0,206746720586.0,176099556371.0,-2562126203.0,-1992452119.0,224649755569.0
000950,,전방,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,131,방적 및 가공사 제조업,236979137636.0,47159660314.0,189819477322.0,-19193789810.0,-32548106506.0,94772410649.0
000970,,한국주철관공업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,241,1차 철강 제조업,434108102058.0,74562473227.0,359545628831.0,17420022071.0,20384146359.0,456325697481.0
000990,,DB하이텍,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,261,반도체 제조업,2043378694132.0,303296256385.0,1740082437747.0,264149250979.0,,
001020,,페이퍼코리아,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,171,"펄프, 종이 및 판지 제조업",491668368146.0,196513777401.0,295154590745.0,15232336453.0,31156677378.0,362071696060.0
001040,,CJ,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,47203762893000.0,29310944319000.0,17892818574000.0,524667990000.0,,
001060,,JW중외제약,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,212,의약품 제조업,645038796101.0,379598339300.0,265440456801.0,38430259560.0,100303770111.0,748526707817.0
001070,,대한방직,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,132,직물직조 및 직물제품 제조업,180718514592.0,49782242505.0,130936272087.0,-3671292616.0,-1812481976.0,149403981153.0
001120,,LX인터내셔널,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,461,상품 중개업,7995340730864.0,4920385836841.0,3074954894023.0,193358801940.0,,
001130,,대한제분,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,106,"떡, 빵 및 과자류 제조업",1401353854060.0,407391972243.0,993961881817.0,81242498761.0,54859482247.0,1441458547512.0
001140,,국보,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,493,도로 화물 운송업,91419723256.0,62048919572.0,29370803684.0,-31563058092.0,-12080295470.0,47384485455.0
001210,,금호전기,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,284,전구 및 조명장치 제조업,52905126549.0,45756810075.0,7148316474.0,-18342317139.0,-8228668329.0,53372993650.0
001230,,동국홀딩스,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,241,1차 철강 제조업,2421648337449.0,644335386070.0,1777312951379.0,231577736410.0,,
001250,,GS글로벌,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,468,상품 종합 도매업,1401098380370.0,953110256832.0,447988123538.0,26078650864.0,,
001260,,남광토건,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,412,토목 건설업,377327938424.0,264295801416.0,113032137008.0,5988599636.0,4346983076.0,547683547225.0
001340,,백광산업,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,201,기초 화학물질 제조업,426908196303.0,213256378678.0,213651817625.0,7728814098.0,17738515912.0,233521888171.0
001380,,SG글로벌,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,303,자동차 신품 부품 제조업,198246797314.0,57195063606.0,141051733708.0,20175100732.0,6606303384.0,96577221552.0
001390,,KG케미칼,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,201,기초 화학물질 제조업,7818145771325.0,4181830349010.0,3636315422315.0,350715471304.0,442583708062.0,8933057023552.0
001430,,세아베스틸지주,2023,2023-12-31,KRW,general,일반,유가증권시장상장법인,241,1차 철강 제조업,3665171000621.0,1626121166492.0,2039049834129.0,125991352125.0,196690160681.0,4083481175925.0
