symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,per_score,pbr_score,roe_score,debt_score,valuation_score
066410,00378220,버킷스튜디오,2025,2025-12-31,2026-06-18,1153.0,159600000000.0,173190399977.0,9183673417.0,164006726560.0,38263737205.0,6182990399.0,17273408347.0,4.17,0.97,23.33,5.6,25,20,25,25,95
069510,00306719,에스텍,2025,2025-12-31,2026-06-18,12170.0,132800000000.0,345271926908.0,110279171154.0,234992755754.0,41622795150.0,,,3.19,0.57,17.71,46.93,25,20,25,25,95
069730,00151298,DSR제강,2025,2025-12-31,2026-06-18,5150.0,74200000000.0,258456517662.0,70498495239.0,187958022423.0,24673830759.0,28035487957.0,226550389881.0,3.01,0.39,13.13,37.51,25,25,20,25,95
079960,00178790,동양이엔피,2025,2025-12-31,2026-06-18,22050.0,173300000000.0,536293012645.0,91214249270.0,445078763375.0,49451743539.0,53617577881.0,596475211237.0,3.5,0.39,11.11,20.49,25,25,20,25,95
080010,00454399,이상네트웍스,2025,2025-12-31,2026-06-18,6850.0,67400000000.0,201894373909.0,30050701090.0,171843672819.0,20627143731.0,22916857559.0,103782678478.0,3.27,0.39,12.0,17.49,25,25,20,25,95
081580,00364306,성우전자,2025,2025-12-31,2026-06-18,2475.0,38400000000.0,159370980039.0,45060814856.0,114310165183.0,12084961675.0,3982695738.0,182738934318.0,3.18,0.34,10.57,39.42,25,25,20,25,95
088910,00228712,동우팜투테이블,2025,2025-12-31,2026-06-18,2355.0,60800000000.0,282187804378.0,42612674715.0,239575129663.0,28230586523.0,13151439758.0,325457698211.0,2.15,0.25,11.78,17.79,25,25,20,25,95
090470,00493185,제이스텍,2025,2025-12-31,2026-06-18,5640.0,98600000000.0,177177604418.0,42025305252.0,135152299166.0,25386888362.0,23665752868.0,30661005588.0,3.88,0.73,18.78,31.09,25,20,25,25,95
097780,00562360,에코볼트,2025,2025-12-31,2026-06-18,1337.0,27100000000.0,253843277165.0,37215797837.0,216627479328.0,24908902623.0,1079825912.0,217426570735.0,1.09,0.13,11.5,17.18,25,25,20,25,95
100030,00641171,인지소프트,2025,2025-12-31,2026-06-18,18180.0,59700000000.0,82998287414.0,13464976471.0,69533310943.0,21388023078.0,2340366939.0,18922277464.0,2.79,0.86,30.76,19.36,25,20,25,25,95
100220,00520887,비상교육,2025,2025-12-31,2026-06-18,5200.0,67600000000.0,399442193970.0,199682486524.0,199759707446.0,21290435096.0,21618190019.0,268775672567.0,3.18,0.34,10.66,99.96,25,25,20,25,95
101000,00618410,KS인더스트리,2025,2025-12-31,2026-06-18,602.0,23900000000.0,61193612721.0,26189208422.0,35004404299.0,7256023518.0,4620553504.0,39447384534.0,3.29,0.68,20.73,74.82,25,20,25,25,95
102260,00679314,동성케미컬,2025,2025-12-31,2026-06-18,3870.0,196100000000.0,1139025243623.0,497684387945.0,641340855678.0,75556928643.0,112042532460.0,1211599795389.0,2.6,0.31,11.78,77.6,25,25,20,25,95
104460,00602136,디와이피엔에프,2025,2025-12-31,2026-06-18,10220.0,107500000000.0,246868549743.0,97051696049.0,149816853694.0,25381554158.0,28569091674.0,396256361230.0,4.24,0.72,16.94,64.78,25,20,25,25,95
105550,00766106,엣지파운드리,2025,2025-12-31,2026-06-18,508.0,39800000000.0,177094222917.0,48657485617.0,128436737300.0,15697205127.0,15540147816.0,36390814582.0,2.54,0.31,12.22,37.88,25,25,20,25,95
123410,00803425,코리아에프티,2025,2025-12-31,2026-06-18,6010.0,167300000000.0,523167416168.0,256140175132.0,267027241036.0,44329022171.0,45413955880.0,785869151550.0,3.77,0.63,16.6,95.92,25,20,25,25,95
131400,00533924,이브이첨단소재,2025,2025-12-31,2026-06-18,1430.0,85200000000.0,136382252288.0,33728954687.0,102653297601.0,21574684330.0,3175789091.0,58957039857.0,3.95,0.83,21.02,32.86,25,20,25,25,95
142760,00587925,모아라이프플러스,2025,2025-12-31,2026-06-18,615.0,25900000000.0,42606784656.0,12041742879.0,30565041777.0,13051156881.0,6531029981.0,11216210534.0,1.98,0.85,42.7,39.4,25,20,25,25,95
143240,00857480,사람인,2025,2025-12-31,2026-06-18,16520.0,177300000000.0,326698027589.0,59688328319.0,267009699270.0,91770600476.0,16775417170.0,121236114602.0,1.93,0.66,34.37,22.35,25,20,25,25,95
148150,00913689,세경하이테크,2025,2025-12-31,2026-06-18,3525.0,125300000000.0,346450278522.0,111758175977.0,234692102545.0,47801871717.0,1762505924.0,277917111183.0,2.62,0.53,20.37,47.62,25,20,25,25,95
