,Symbol,Name,Industry,IndustryCode
2907,OXLCM,Oxford Lane Capital Corp PRF,다양한 금융서비스,555010
2908,KELYB,Kelly Services Inc Class B,전문 및 상업 서비스,522030
2909,BLPH,Bellerophon Therapeutics Inc,생명과학 및 메디컬 리서치,562020
2910,USWS,US Well Services Inc Class A,오일 및 가스 장비 및 서비스,501030
2911,SYNC,Synacor Inc,소프트웨어 및 IT서비스,572010
2912,KBNT,Kubient Inc,미디어 및 출판,533020
2913,RSSS,Research Solutions Inc,전문 및 상업 서비스,522030
2914,SRAX,SRAX Inc Class A,미디어 및 출판,533020
2915,TANH,Tantech Holdings Ltd,화학,511010
2916,YTEN,Yield10 Bioscience Inc,생명과학 및 메디컬 리서치,562020
2917,TURN,180 Degree Capital Corp,투자은행 및 서비스,551020
2918,ACOR,Acorda Therapeutics Inc,생명과학 및 메디컬 리서치,562020
2919,PPSI,Pioneer Power Solutions Inc,"건설장비 및 대형차, 기차, 배",521020
2920,ZIONP,Zions Bancorporation NA ADR,은행,551010
2921,MMLP,Martin Midstream Partners LP Unit,오일 및 가스 장비 및 서비스,501030
2922,GENE,Genetic Technologies Ltd ADR,헬스케어 업체 및 서비스,561020
2923,SENEB,Seneca Foods Corp Class B,식품 및 담배,541020
2924,CATB,Catabasis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
2925,CBLI,Cleveland Biolabs Inc,생명과학 및 메디컬 리서치,562020
2926,STRM,Streamline Health Solutions Inc,헬스케어 업체 및 서비스,561020
2927,UTSI,UTStarcom Holdings Corp,커뮤니케이션 및 네트워킹,571020
2928,NHTC,Natural Health Trends Corp,전문품 상점,534030
2929,DCOMP,Dime Community Bancshares Inc PRF,은행,551010
2930,KRBP,Kiromic Biopharma Inc,생명과학 및 메디컬 리서치,562020
2931,USAP,Universal Stainless & Alloy Products Inc,메탈&마이닝,512010
2932,UG,United-Guardian Inc,제약,562010
2933,AIRT,Air T Inc,화물 및 물류 서비스,524050
2934,ZKIN,ZK International Group Co Ltd,주택건설,532030
2935,FPAY,FlexShopper Inc,소프트웨어 및 IT서비스,572010
2936,BVXV,BiondVax Pharmaceuticals Ltd ADR,생명과학 및 메디컬 리서치,562020
2937,LGHL,Lion Group Holding Ltd ADR,투자은행 및 서비스,551020
2938,IROQ,IF Bancorp Inc,은행,551010
2939,GSUM,Gridsum Holding Inc ADR,소프트웨어 및 IT서비스,572010
2940,ARKR,Ark Restaurants Corp,호텔 및 엔터테인먼트,533010
